Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
57943296,06/19/2023 05:03:46 PM,06/21/2023 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Site Conditions Endangering Workers,,,11211,235 JACKSON STREET,JACKSON STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/21/2023 12:00:00 AM,01 BROOKLYN,34,Precinct 94,3028750063,BROOKLYN,1000596,200510,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.717015264685095,-73.94103388132788,POINT (-73.941033881328 40.717015264685)
57943989,06/19/2023 05:51:15 PM,07/05/2023 07:23:51 PM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CABINET,PEELING OR FLAKING PAINT,RESIDENTIAL BUILDING,11221,453A PULASKI STREET,PULASKI STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,07/05/2023 12:00:00 AM,03 BROOKLYN,36,Precinct 81,3015960057,BROOKLYN,1003072,192251,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69434134192425,-73.93212511456656,POINT (-73.932125114567 40.694341341924)
57942756,06/19/2023 09:20:17 AM,06/20/2023 08:50:57 PM,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,N/A,Street,11385,919 WYCKOFF AVENUE,WYCKOFF AVENUE,HANCOCK STREET,WEIRFIELD STREET,HANCOCK STREET,WEIRFIELD STREET,ADDRESS,RIDGEWOOD,WYCKOFF AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,06/20/2023 08:51:05 PM,05 QUEENS,34,Precinct 104,4035490001,QUEENS,1010202,193198,PHONE,Unspecified,QUEENS,,,,,,,,40.69692259944958,-73.90640965974778,POINT (-73.906409659748 40.69692259945)
57942369,06/19/2023 06:32:24 PM,06/19/2023 07:00:28 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11226,266 EAST   21 STREET,EAST   21 STREET,ALBEMARLE TERRACE,ALBEMARLE ROAD,ALBEMARLE TERRACE,ALBEMARLE ROAD,ADDRESS,BROOKLYN,EAST   21 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/19/2023 07:00:31 PM,14 BROOKLYN,40,Precinct 70,3051010041,BROOKLYN,995472,175354,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64797576607255,-73.9595599514292,POINT (-73.959559951429 40.647975766073)
57937563,06/18/2023 08:52:23 AM,06/18/2023 09:30:05 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,10307,465 CRAIG AVENUE,CRAIG AVENUE,MAIN STREET,BUTLER AVENUE,MAIN STREET,BUTLER AVENUE,ADDRESS,STATEN ISLAND,CRAIG AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 09:30:08 AM,03 STATEN ISLAND,51,Precinct 123,5080280003,STATEN ISLAND,914985,125246,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.51017601792136,-74.24909199923219,POINT (-74.249091999232 40.510176017921)
57933450,06/18/2023 04:38:18 AM,06/18/2023 05:10:58 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11232,849 42 STREET,42 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,42 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 05:11:05 AM,12 BROOKLYN,38,Precinct 66,3009230056,BROOKLYN,984818,174248,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6449471267718,-73.99795322543724,POINT (-73.997953225437 40.644947126772)
57935457,06/18/2023 11:11:58 PM,06/20/2023 10:09:55 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,3+ Family Apt. Building,10468,18 EAST  198 STREET,EAST  198 STREET,JEROME AVENUE,CRESTON AVENUE,JEROME AVENUE,CRESTON AVENUE,ADDRESS,BRONX,EAST  198 STREET,,Closed,,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,06/18/2023 11:11:58 PM,07 BRONX,14,Precinct 52,2033180119,BRONX,1013908,256700,ONLINE,Unspecified,BRONX,,,,,,,,40.871206842739696,-73.89276442848653,POINT (-73.892764428487 40.87120684274)
57934701,06/18/2023 04:54:28 PM,06/18/2023 05:22:29 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11214,2036 CROPSEY AVENUE,CROPSEY AVENUE,BAY   25 STREET,BAY   26 STREET,BAY   25 STREET,BAY   26 STREET,ADDRESS,BROOKLYN,CROPSEY AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 05:22:34 PM,11 BROOKLYN,47,Precinct 62,3064690001,BROOKLYN,983730,157706,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59954279505366,-74.00187253346519,POINT (-74.001872533465 40.599542795054)
57939318,06/18/2023 05:16:48 PM,06/18/2023 05:43:15 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,Street/Sidewalk,10033,501 WEST  183 STREET,WEST  183 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  183 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 05:43:21 PM,12 MANHATTAN,10,Precinct 34,1021550091,MANHATTAN,1003553,248749,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.849412465935345,-73.93022827878026,POINT (-73.93022827878 40.849412465935)
57937914,06/18/2023 09:40:30 PM,06/18/2023 09:55:25 PM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,,Park/Playground,11216,HERBERT VON KING PARK,HERBERT VON KING PARK,LAFAYETTE AVENUE,VAN BUREN STREET,LAFAYETTE AVENUE,VAN BUREN STREET,UNRECOGNIZED,BROOKLYN,HERBERT VON KING PARK,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 09:55:29 PM,03 BROOKLYN,36,Precinct 79,3017900001,BROOKLYN,999043,190542,PHONE,Herbert Von King Park,BROOKLYN,,,,,,,,40.68965818409251,-73.94665802675449,POINT (-73.946658026754 40.689658184093)
57928302,06/17/2023 07:45:08 AM,06/17/2023 08:18:28 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,Street/Sidewalk,11412,186-15 LIBERTY AVENUE,LIBERTY AVENUE,186 STREET,DUNLOP AVENUE,186 STREET,DUNLOP AVENUE,ADDRESS,SAINT ALBANS,LIBERTY AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/17/2023 08:18:32 AM,12 QUEENS,27,Precinct 103,,QUEENS,1047992,195923,PHONE,Unspecified,QUEENS,,,,,,,,40.704210554348066,-73.77010275228726,POINT (-73.770102752287 40.704210554348)
57935232,06/18/2023 10:29:39 AM,07/17/2024 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,,11358,42-24 192 STREET,192 STREET,,,,,ADDRESS,FLUSHING,,,Closed,,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/17/2024 12:00:00 AM,11 QUEENS,19,Precinct 111,4053670015,QUEENS,1042544,215846,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.758931712247524,-73.7895792796586,POINT (-73.789579279659 40.758931712248)
57941982,06/19/2023 08:49:25 PM,06/19/2023 09:01:35 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,,Club/Bar/Restaurant,11377,49-09 25 AVENUE,25 AVENUE,49 STREET,50 STREET,49 STREET,50 STREET,ADDRESS,WOODSIDE,25 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/19/2023 09:01:38 PM,01 QUEENS,22,Precinct 114,4010160003,QUEENS,1010747,217828,ONLINE,Unspecified,QUEENS,,,,,,,,40.764524258774244,-73.90434724427273,POINT (-73.904347244273 40.764524258774)
57942630,06/19/2023 01:05:33 PM,06/20/2023 10:43:47 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Anti-Skid,N/A,Street,10463,2716 FAIRFIELD AVENUE,FAIRFIELD AVENUE,WEST  227 STREET,DEAD END,WEST  227 STREET,DEAD END,ADDRESS,BRONX,FAIRFIELD AVENUE,,Closed,,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",06/20/2023 10:43:50 AM,08 BRONX,11,Precinct 50,2057310852,BRONX,1007506,260300,ONLINE,Unspecified,BRONX,,,,,,,,40.88110691623021,-73.91589987298848,POINT (-73.915899872988 40.88110691623)
57929382,06/17/2023 10:08:01 AM,06/17/2023 10:30:09 AM,NYPD,New York City Police Department,Encampment,N/A,,Street/Sidewalk,10018,440 WEST   36 STREET,WEST   36 STREET,DYER AVENUE,10 AVENUE,DYER AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   36 STREET,,Closed,,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,06/17/2023 10:30:13 AM,04 MANHATTAN,03,Precinct 10,1007330059,MANHATTAN,985026,214500,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.755429425452505,-73.99719906445301,POINT (-73.997199064453 40.755429425453)
57929229,06/17/2023 03:23:57 PM,04/03/2024 12:00:00 AM,DOB,Department of Buildings,Plumbing,Failure To Retain Water/Improper Drainage- (LL103/89),,,11106,30-05 35 AVENUE,35 AVENUE,,,,,ADDRESS,ASTORIA,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/03/2024 12:00:00 AM,01 QUEENS,22,Precinct 114,4006070106,QUEENS,1003877,215606,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.758443362745105,-73.92915405225972,POINT (-73.92915405226 40.758443362745)
57927573,06/18/2023 12:53:40 AM,06/18/2023 01:01:07 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11225,527 EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,BROOKLYN AVENUE,KINGSTON AVENUE,ADDRESS,BROOKLYN,EAST NEW YORK AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 01:01:13 AM,09 BROOKLYN,40,Precinct 71,3013320074,BROOKLYN,999534,180441,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66193238724972,-73.94491044017315,POINT (-73.944910440173 40.66193238725)
57927366,06/17/2023 09:14:01 PM,06/17/2023 09:34:01 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,,Store/Commercial,10034,4892 BROADWAY,BROADWAY,WEST  204 STREET,WEST  207 STREET,WEST  204 STREET,WEST  207 STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/17/2023 09:34:04 PM,12 MANHATTAN,10,Precinct 34,1022350005,MANHATTAN,1005676,255235,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.86720968747772,-73.92253385348529,POINT (-73.922533853485 40.867209687478)
57936933,06/18/2023 11:07:22 AM,06/18/2023 12:33:35 PM,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,11429,206-14 100 AVENUE,100 AVENUE,FRANCIS LEWIS BOULEVARD,207 STREET,FRANCIS LEWIS BOULEVARD,207 STREET,ADDRESS,QUEENS VILLAGE,100 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 12:33:38 PM,13 QUEENS,27,Precinct 105,4108740002,QUEENS,1052749,198814,ONLINE,Unspecified,QUEENS,,,,,,,,40.712110087801165,-73.75291643370333,POINT (-73.752916433703 40.712110087801)
57939588,06/18/2023 05:38:00 PM,06/18/2023 06:15:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,Operating Improperly,,10024,,,,,CENTRAL PARK WEST,WEST 89 STREET,INTERSECTION,MANHATTAN,,N/A,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,06/18/2023 06:15:00 PM,07 MANHATTAN,06,Precinct 24,,MANHATTAN,993132,226085,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.78722279822423,-73.9679255285525,POINT (-73.967925528552 40.787222798224)
57942252,06/19/2023 04:15:21 PM,06/20/2023 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal. Commercial Use In Resident Zone,,,11229,77 BARTLETT PLACE,BARTLETT PLACE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/20/2023 12:00:00 AM,15 BROOKLYN,46,Precinct 61,3089230890,BROOKLYN,1005107,154312,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.59020242424103,-73.92490389898396,POINT (-73.924903898984 40.590202424241)
57932829,06/18/2023 04:53:00 PM,06/18/2023 08:00:00 PM,DEP,Department of Environmental Protection,Water System,No Water (WNW),WNW,,11221,1267 PUTNAM AVENUE,PUTNAM AVENUE,CENTRAL AVE,WILSON AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,06/18/2023 08:00:00 PM,04 BROOKLYN,37,Precinct 83,3033690165,BROOKLYN,1007941,191536,PHONE,Unspecified,BROOKLYN,,,,,,,,40.692367138543794,-73.91456931290232,POINT (-73.914569312902 40.692367138544)
59442057,09/29/2023 07:56:10 PM,09/30/2023 07:45:00 AM,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,N/A,Sewer,11214,8629 25 AVENUE,25 AVENUE,86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,ADDRESS,BROOKLYN,25 AVENUE,,Closed,,,09/30/2023 07:45:00 AM,11 BROOKLYN,43,Precinct 62,3068670028,BROOKLYN,987618,156874,PHONE,Unspecified,BROOKLYN,,,,,,,,40.5972584985863,-73.9878721596664,POINT (-73.987872159666 40.597258498586)
57928653,06/17/2023 11:27:35 PM,06/18/2023 12:25:10 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,,Residential Building/House,11411,120-12 229 STREET,229 STREET,120 AVENUE,FRANCIS LEWIS BOULEVARD,120 AVENUE,FRANCIS LEWIS BOULEVARD,ADDRESS,CAMBRIA HEIGHTS,229 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2023 12:25:16 AM,13 QUEENS,27,Precinct 105,4128130033,QUEENS,1057731,189845,ONLINE,Unspecified,QUEENS,,,,,,,,40.687452417009006,-73.73504376324152,POINT (-73.735043763242 40.687452417009)
57943008,06/19/2023 07:44:00 AM,06/22/2023 12:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),NM1,,11358,40-18 193 STREET,193 STREET,STATION RD,42 AVE,,,ADDRESS,FLUSHING,,N/A,Closed,,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/22/2023 12:00:00 PM,11 QUEENS,19,Precinct 111,4053570019,QUEENS,1042719,216552,ONLINE,Unspecified,QUEENS,,,,,,,,40.76086834015283,-73.78894145382073,POINT (-73.788941453821 40.760868340153)
57942684,06/19/2023 05:22:15 AM,06/19/2023 07:02:18 AM,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10001,410 10 AVENUE,10 AVENUE,LINCOLN TUNNEL APPROACH,10 AVENUE,LINCOLN TUNNEL APPROACH,10 AVENUE,ADDRESS,NEW YORK,10 AVENUE,,Closed,,N/A,06/19/2023 07:02:24 AM,04 MANHATTAN,03,Precinct 10,1007310001,MANHATTAN,984503,213908,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75380456634056,-73.99908683065986,POINT (-73.99908683066 40.753804566341)
57932910,06/18/2023 07:56:55 PM,06/18/2023 08:41:33 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,Street/Sidewalk,10312,2 CARLYLE GREEN,CARLYLE GREEN,ARTHUR KILL ROAD,BEND,ARTHUR KILL ROAD,BEND,ADDRESS,STATEN ISLAND,CARLYLE GREEN,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,06/18/2023 08:41:40 PM,03 STATEN ISLAND,51,Precinct 123,5060210176,STATEN ISLAND,928862,142282,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.55703399883587,-74.19932689208612,POINT (-74.199326892086 40.557033998836)
57931965,06/18/2023 03:11:11 PM,06/18/2023 03:18:39 PM,DHS,Department of Homeless Services,Homeless Person Assistance,,,Subway,,,,,,,,ADDRESS,,,,Closed,,The Department of Homeless Services did not have enough information to act on your request.,06/18/2023 03:18:39 PM,Unspecified MANHATTAN,,Unspecified,,MANHATTAN,994025,227695,MOBILE,Unspecified,MANHATTAN,,,,C,,,Stairway,40.791640872995636,-73.964698405059,POINT (-73.964698405059 40.791640872996)
57941343,06/19/2023 01:08:18 PM,06/19/2023 01:46:12 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10030,162 WEST  144 STREET,WEST  144 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  144 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/19/2023 01:46:15 PM,10 MANHATTAN,09,Precinct 32,1020120058,MANHATTAN,1001116,238303,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.820746211868745,-73.93906320797221,POINT (-73.939063207972 40.820746211869)
57936753,06/18/2023 07:17:09 PM,06/18/2023 07:57:29 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11106,33-02 34 AVENUE,34 AVENUE,33 STREET,34 STREET,33 STREET,34 STREET,ADDRESS,ASTORIA,34 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,06/18/2023 07:57:34 PM,01 QUEENS,26,Precinct 114,4006100025,QUEENS,1004882,215756,ONLINE,Unspecified,QUEENS,,,,,,,,40.75885278615065,-73.92552592881476,POINT (-73.925525928815 40.758852786151)
57937833,06/19/2023 12:34:00 AM,06/20/2023 11:29:38 AM,DHS,Department of Homeless Services,Homeless Person Assistance,,,Subway,,,,,,,,ADDRESS,,,,Closed,,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",06/20/2023 11:29:38 AM,Unspecified BROOKLYN,,Unspecified,,BROOKLYN,988391,190860,MOBILE,Unspecified,BROOKLYN,,,,2,2 3 to Flatbush - New Lots,,Platform,40.69054241475501,-73.98506780045183,POINT (-73.985067800452 40.690542414755)
